"filename", "language", "Svelte", "JSON with Comments", "JavaScript", "TypeScript", "HTML", "XML", "CSS", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Usuario\escuela\src\lib\images\icons\chevron_left.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\chevron_right.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\chevron_right_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\copy_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\database_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\departamentos_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\details_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\donaciones_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\donantes_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\edit_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\email_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\error_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\folder_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\historial_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\home_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\horarios.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\lastname_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\login.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\login_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\logout_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\menu_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\name_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\permisos_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\personalizar_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
